
> aframe-360-image-gallery-boilerplate@0.3.0-beta6 start /home/abrar/VR
> budo --live --verbose --port 3000 --open

[0000] info  Server running at http://45.76.184.39:3000/ (connect)
[0001] info  LiveReload running on 35729
[4632] 1ms         20KB GET    200 /img/pop6.jpg
[4632] 1ms         48KB GET    200 /img/pop7.jpg
[4632] 0ms         20KB GET    200 /img/pop8.jpg
[4632] 2ms         20KB GET    200 /img/pop9.jpg
[4632] 2ms         37KB GET    200 /img/pop10.jpg
[4632] 1ms         29KB GET    200 /img/pop11.jpg
[4632] 2ms         17KB GET    200 /img/thumb1.jpg
[4632] 3ms         36KB GET    200 /img/pop12.jpg
[4632] 2ms         17KB GET    200 /img/thumb2.jpg
[4632] 1ms         20KB GET    200 /img/thumb3.jpg
[4632] 2ms         33KB GET    200 /img/thumb4.jpg
[4632] 1ms         13KB GET    200 /img/thumb5.jpg
[4633] 66ms        66KB GET    200 /img/thumb6.jpg
[4633] 1ms         25KB GET    200 /img/thumb7.jpg
[4633] 1ms         32KB GET    200 /img/thumb8.jpg
[4633] 1ms         30KB GET    200 /img/thumb10.jpg
[4633] 1ms         34KB GET    200 /img/thumb11.jpg
[4633] 82ms        66KB GET    200 /img/thumb12.jpg
[4633] 609ms       66KB GET    200 /img/2.jpg
[4633] 690ms       66KB GET    200 /img/4.jpg
[4678] 2ms        1232B GET    200 /components/set-image.js
[4678] 1ms         216B GET    200 /components/update-raycaster.js
[4678] 1ms        3652B GET    200 /img/backpacklogo.png
[4678] 1ms         18KB GET    200 /img/pop1.jpg
[4679] 1ms         20KB GET    200 /img/pop2.jpg
[4679] 2ms         48KB GET    200 /img/pop3.jpg
[4679] 1ms         31KB GET    200 /img/pop4.jpg
[4679] 2ms         46KB GET    200 /img/pop5.jpg
[4679] 1ms         20KB GET    200 /img/pop6.jpg
[4679] 1ms         48KB GET    200 /img/pop7.jpg
[4679] 8ms         20KB GET    200 /img/pop8.jpg
[4679] 9ms         20KB GET    200 /img/pop9.jpg
[4679] 12ms        37KB GET    200 /img/pop10.jpg
[4679] 2ms         29KB GET    200 /img/pop11.jpg
[4679] 16ms        36KB GET    200 /img/pop12.jpg
[4679] 1ms         17KB GET    200 /img/thumb1.jpg
[4679] 1ms         17KB GET    200 /img/thumb2.jpg
[4679] 2ms         20KB GET    200 /img/thumb3.jpg
[4679] 1ms         33KB GET    200 /img/thumb4.jpg
[4679] 1ms         13KB GET    200 /img/thumb5.jpg
[4679] 12ms        66KB GET    200 /img/thumb6.jpg
[4679] 14ms        25KB GET    200 /img/thumb7.jpg
[4680] 1ms         32KB GET    200 /img/thumb8.jpg
[4680] 1ms         30KB GET    200 /img/thumb10.jpg
[4680] 1ms         34KB GET    200 /img/thumb11.jpg
[4680] 2ms         66KB GET    200 /img/thumb12.jpg
[4680] 94ms        66KB GET    200 /img/2.jpg
[4680] 95ms        66KB GET    200 /img/4.jpg
[4719] 2ms        1232B GET    200 /components/set-image.js
[4719] 1ms         216B GET    200 /components/update-raycaster.js
[4719] 1ms        3652B GET    200 /img/backpacklogo.png
[4719] 1ms         18KB GET    200 /img/pop1.jpg
[4719] 1ms         20KB GET    200 /img/pop2.jpg
[4720] 2ms         48KB GET    200 /img/pop3.jpg
[4720] 1ms         31KB GET    200 /img/pop4.jpg
[4720] 1ms         46KB GET    200 /img/pop5.jpg
[4720] 1ms         20KB GET    200 /img/pop6.jpg
[4720] 2ms         48KB GET    200 /img/pop7.jpg
